competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,optionoffered_count_total,optionoffered_count,optionoffered_count_targeted,optionoffered_count_received,optionoffered_count_shotwithin10s,optionoffered_count_goalwithin10s,optionoffered_count_linebreak,optionoffered_count_dangerous,optionoffered_count_inspace,optionoffered_count_wide,optionoffered_count_insidedefensiveshape,optionoffered_count_outsidedefensiveshape,optionoffered_count_penaltyarea,optionoffered_count_penaltyarea_received,optionoffered_count_penaltyarea_shotwithin10s,optionoffered_count_penaltyarea_goalwithin10s
1171,Ekstraklasa (PL),988,Antonio Milić,A. Milić,1994-03-10,91.59,27.22,21.91,24,24,0,2509.0,104.54,41.54,40.62,0.71,0.0,0.75,3.38,42.71,9.5,6.08,98.46,3.0,0.21,0.17,0.0
1171,Ekstraklasa (PL),1001,Antonio-Mirko Čolak,A. Čolak,1993-09-17,25.35,7.88,5.58,13,12,1,475.0,39.58,9.75,4.0,0.5,0.08,12.58,18.33,1.25,2.83,33.17,6.42,12.33,0.75,0.42,0.08
1171,Ekstraklasa (PL),1034,Arkadiusz Woźniak,A. Woźniak,1990-06-01,11.18,1.43,2.97,3,3,0,26.0,8.67,1.67,0.67,0.0,0.0,2.33,3.67,0.0,1.0,5.33,3.33,1.67,0.0,0.0,0.0
1171,Ekstraklasa (PL),1069,Artem Putivtsev,A. Putivtsev,1988-08-29,63.6,15.56,17.11,17,17,0,894.0,52.59,15.41,14.94,0.12,0.0,0.82,1.88,15.24,18.29,3.94,48.65,1.59,0.12,0.06,0.0
1171,Ekstraklasa (PL),1081,Artur Jędrzejczyk,A. Jędrzejczyk,1987-11-04,46.79,13.01,11.63,11,10,1,457.0,45.7,14.0,13.5,0.6,0.1,0.9,2.4,13.1,7.8,4.5,41.2,2.1,0.5,0.3,0.1
1171,Ekstraklasa (PL),1208,Bartlomiej Pawłowski,B. Pawłowski,1992-11-13,30.68,7.4,8.14,19,19,0,576.0,30.32,7.26,5.21,0.53,0.0,8.26,6.47,3.84,9.11,20.26,10.05,2.42,0.11,0.05,0.0
1171,Ekstraklasa (PL),1214,Bartosz Kapustka,B. Kapustka,1996-12-23,71.57,21.03,16.88,27,25,2,2698.0,107.92,27.4,24.52,2.16,0.2,25.0,13.96,19.32,23.12,86.52,21.4,5.56,0.84,0.36,0.0
1171,Ekstraklasa (PL),1292,Benjamin Mendy,B. Mendy,1994-07-17,38.93,9.29,10.04,11,11,0,373.0,33.91,15.82,14.64,0.55,0.0,3.91,1.91,14.09,26.09,3.18,30.73,0.64,0.27,0.0,0.0
1171,Ekstraklasa (PL),1904,Christos Donis,C. Donis,1994-10-09,56.01,14.25,13.24,27,27,0,1691.0,62.63,18.48,16.7,0.96,0.07,10.19,4.15,14.11,11.22,42.52,20.11,2.07,0.04,0.0,0.0
1171,Ekstraklasa (PL),2115,Damian Dąbrowski,D. Dąbrowski,1992-08-27,82.09,16.33,23.76,25,25,0,1612.0,64.48,17.28,16.44,0.96,0.04,5.36,2.04,15.12,17.76,40.4,24.08,0.32,0.04,0.0,0.0
